,Project.Name,Address,Transacted Price,Price (psf),Date,Completion Year,Type.of.Sale,Postal.District,year,Level,TenureType_Ind,maxLevel,Nearest Sch,Distance_Sch,Nearest Stn,Distance_Stn,Avg area sqf,Dist_Sch_Label
68,N.A.,58 GENTLE ROAD,11400000,1363,2019-10-29,2021,Resale,11,2019,1,Freehold,188,ANGLO-CHINESE SCHOOL (PRIMARY),0.204495591,NEWTON MRT STATION,0.498243854,8364.7,1
69,N.A.,5E TANGLIN HILL,31500000,1915,2019-10-30,2021,Resale,10,2019,1,Freehold,188,NANYANG PRIMARY SCHOOL,2.242708839,NAPIER MRT STATION,0.578926351,16446.32,3
70,N.A.,17 CAMBORNE ROAD,9000000,1758,2019-11-01,2021,Resale,11,2019,1,Freehold,188,SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY),0.984618091,BOTANIC GARDENS MRT STATION,0.737725371,5119.36,1
71,MERA GARDENS,6 ALMOND STREET,2950000,492,2019-11-04,1998,Resale,23,2019,1,99-yr,1,WEST SPRING PRIMARY SCHOOL,1.929707756,CASHEW MRT STATION,0.913877862,5993.4,2
72,SEMBAWANG SPRINGS ESTATE,14 JALAN SHAER,4000000,792,2019-11-04,2021,Resale,27,2019,1,Freehold,1,CHONGFU SCHOOL,1.328924077,CANBERRA MRT STATION,0.562532886,5051.55,2
73,N.A.,5 DALKEITH ROAD,18000000,1598,2019-11-05,2021,Resale,11,2019,1,Freehold,188,SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY),0.722164619,STEVENS MRT STATION,0.615502508,11263.45,1
74,N.A.,7 MARYLAND DRIVE,30000000,1369,2019-11-05,2021,Resale,10,2019,1,999-yr,188,HENRY PARK PRIMARY SCHOOL,0.359390168,DOVER MRT STATION,1.216175262,21912.27,1
75,N.A.,20 CORONATION DRIVE,13580000,2436,2019-11-05,Uncompleted,New Sale,10,2019,1,999-yr,188,NANYANG PRIMARY SCHOOL,0.164091611,TAN KAH KEE MRT STATION,0.392356661,5573.6,1
76,WILKINSON 8,8C WILKINSON ROAD,2850000,904,2019-11-08,2008,Resale,15,2019,1,Freehold,1,KONG HWA SCHOOL,1.180573747,TANJONG KATONG MRT STATION,0.48646283,3153.85,2
77,N.A.,92 BINJAI PARK,10500000,1164,2019-11-11,2021,Resale,21,2019,1,Freehold,188,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.415868092,KING ALBERT PARK MRT STATION,0.823093965,9018.08,2
78,CHUAN SEVEN,30 CHUAN DRIVE,3000000,670,2019-11-12,2000,Resale,19,2019,1,99-yr,1,ROSYTH SCHOOL,1.626050433,LORONG CHUAN MRT STATION,1.039972711,4474.59,2
79,PRINCESS OF WALES PARK,83 DUCHESS ROAD,8500000,2004,2019-11-14,2013,Resale,10,2019,1,999-yr,1,NANYANG PRIMARY SCHOOL,0.165341294,TAN KAH KEE MRT STATION,0.372338062,4241.02,1
80,FRANKEL ESTATE,40 FRANKEL AVENUE,11500000,1451,2019-11-15,2021,Resale,15,2019,1,Freehold,1,TAO NAN SCHOOL,1.3739284,KEMBANGAN MRT STATION,0.843632115,7925.53,2
81,N.A.,355 HOLLAND ROAD,12000000,1999,2019-11-15,Uncompleted,New Sale,10,2019,1,999-yr,188,HENRY PARK PRIMARY SCHOOL,0.458876922,DOVER MRT STATION,0.97717762,6004.16,1
82,PHOENIX HEIGHTS,2 PHOENIX GARDEN,6100000,996,2019-11-15,1980,Resale,23,2019,1,Freehold,1,SOUTH VIEW PRIMARY SCHOOL,1.409610801,BUKIT PANJANG MRT STATION,0.533477017,6125.79,2
83,N.A.,23 SIAK KEW AVENUE,6000000,963,2019-11-15,2021,Resale,13,2019,1,Freehold,188,MARIS STELLA HIGH SCHOOL,1.392306015,POTONG PASIR MRT STATION,0.419931064,6230.2,2
84,N.A.,23 SIAK KEW AVENUE,6500000,1043,2021-05-14,2021,Resale,13,2021,1,Freehold,188,MARIS STELLA HIGH SCHOOL,1.392306015,POTONG PASIR MRT STATION,0.419931064,6230.2,2
85,N.A.,147 BEDOK ROAD,6138000,1591,2019-11-22,2021,Resale,16,2019,1,Freehold,188,TEMASEK PRIMARY SCHOOL,1.077331869,TANAH MERAH MRT STATION,0.68095334,3858.89,2
86,N.A.,147 BEDOK ROAD,5800000,1503,2021-03-26,2021,Resale,16,2021,1,Freehold,188,TEMASEK PRIMARY SCHOOL,1.077331869,TANAH MERAH MRT STATION,0.68095334,3858.89,2
87,RAFFLES PARK,29 CASSIA DRIVE,21800000,1969,2019-11-28,2014,Resale,11,2019,1,Freehold,1,RAFFLES GIRLS' PRIMARY SCHOOL,0.900345437,SIXTH AVENUE MRT STATION,0.947093683,11072.93,1
88,ASTON RESIDENCE,209 JALAN LOYANG BESAR #01-17,1950000,414,2019-11-29,2010,Resale,17,2019,1,999-yr,1,PASIR RIS PRIMARY SCHOOL,0.882190211,PASIR RIS MRT STATION,1.872623944,4714.63,1
89,ASTON RESIDENCE,209 JALAN LOYANG BESAR #01-25,2000000,424,2020-05-15,2010,Resale,17,2020,1,999-yr,1,PASIR RIS PRIMARY SCHOOL,0.882190211,PASIR RIS MRT STATION,1.872623944,4714.63,1
90,ASTON RESIDENCE,209 JALAN LOYANG BESAR #01-22,2080000,441,2020-08-07,2010,Resale,17,2020,1,999-yr,1,PASIR RIS PRIMARY SCHOOL,0.882190211,PASIR RIS MRT STATION,1.872623944,4714.63,1
91,ASTON RESIDENCE,209 JALAN LOYANG BESAR #01-18,2100000,445,2020-10-02,2010,Resale,17,2020,1,999-yr,1,PASIR RIS PRIMARY SCHOOL,0.882190211,PASIR RIS MRT STATION,1.872623944,4714.63,1
92,ASTON RESIDENCE,209 JALAN LOYANG BESAR #01-20,2300000,488,2020-11-16,2010,Resale,17,2020,1,999-yr,1,PASIR RIS PRIMARY SCHOOL,0.882190211,PASIR RIS MRT STATION,1.872623944,4714.63,1
93,ASTON RESIDENCE,209 JALAN LOYANG BESAR #01-21,2300000,488,2021-04-15,2010,Resale,17,2021,1,999-yr,1,PASIR RIS PRIMARY SCHOOL,0.882190211,PASIR RIS MRT STATION,1.872623944,4714.63,1
94,ASTON RESIDENCE,209 JALAN LOYANG BESAR #01-10,2550000,543,2021-08-06,2010,Resale,17,2021,1,999-yr,1,PASIR RIS PRIMARY SCHOOL,0.882190211,PASIR RIS MRT STATION,1.872623944,4693.1,1
95,ASTON RESIDENCE,209 JALAN LOYANG BESAR #01-14,2790000,579,2021-08-27,2010,Resale,17,2021,1,999-yr,1,PASIR RIS PRIMARY SCHOOL,0.882190211,PASIR RIS MRT STATION,1.872623944,4822.27,1
96,ASTON RESIDENCE,209 JALAN LOYANG BESAR #01-25,2980000,632,2021-09-28,2010,Resale,17,2021,1,999-yr,1,PASIR RIS PRIMARY SCHOOL,0.882190211,PASIR RIS MRT STATION,1.872623944,4714.63,1
97,ASTON RESIDENCE,209 JALAN LOYANG BESAR #01-03,3000000,642,2022-02-07,2010,Resale,17,2022,1,999-yr,1,PASIR RIS PRIMARY SCHOOL,0.882190211,PASIR RIS MRT STATION,1.872623944,4671.58,1
