,Project.Name,Address,Transacted Price,Price (psf),Date,Completion Year,Type.of.Sale,Postal.District,year,Level,TenureType_Ind,maxLevel,Nearest Sch,Distance_Sch,Nearest Stn,Distance_Stn,Avg area sqf,Dist_Sch_Label
3676,N.A.,1 ROSYTH TERRACE,2880000,1165,2019-08-13,2021,Resale,19,2019,1,999-yr,188,ROSYTH SCHOOL,1.097712969,KOVAN MRT STATION,1.01922183,2471.41,2
3677,OPERA ESTATE,65 FIDELIO STREET,2380000,1174,2019-08-13,2022,Resale,15,2019,1,Freehold,1,YU NENG PRIMARY SCHOOL,1.883843003,BEDOK MRT STATION,0.852822545,2027.94,2
3678,OPERA ESTATE,65 FIDELIO STREET,4600000,2268,2021-08-10,2022,Resale,15,2021,1,Freehold,1,YU NENG PRIMARY SCHOOL,1.883843003,BEDOK MRT STATION,0.852822545,2027.94,2
3679,N.A.,35 INGGU ROAD,2000000,1160,2019-08-13,2021,Resale,27,2019,1,99-yr,188,WELLINGTON PRIMARY SCHOOL,2.152922332,CANBERRA MRT STATION,2.231670826,1724.39,3
3680,WESTMONT,17E WEST COAST ROAD,2100000,728,2019-08-14,2009,Resale,5,2019,1,Freehold,1,FAIRFIELD METHODIST SCHOOL (PRIMARY),2.225533901,KENT RIDGE MRT STATION,1.973236375,2884.75,3
3681,FRANKEL ESTATE,38B DUNBAR WALK,2701000,1617,2019-08-14,2021,Resale,15,2019,1,Freehold,1,TAO NAN SCHOOL,1.156245207,KEMBANGAN MRT STATION,0.766901893,1670.57,2
3682,HAUS@SERANGOON GARDEN,14 SERANGOON GARDEN TERRACE,2200000,1363,2019-08-14,2016,Resale,19,2019,1,99-yr,1,ROSYTH SCHOOL,1.776924121,ANG MO KIO MRT STATION,1.356988477,1614.6,2
3683,N.A.,21 JALAN MELOR,3850000,1605,2019-08-14,Uncompleted,New Sale,13,2019,1,Freehold,188,MARIS STELLA HIGH SCHOOL,1.327938558,MATTAR MRT STATION,0.574104986,2398.22,2
3684,THE RIVERINA,101 RIVERINA VIEW,1618888,1003,2019-08-14,2000,Resale,18,2019,1,99-yr,1,PASIR RIS PRIMARY SCHOOL,1.953566168,PASIR RIS MRT STATION,0.809004375,1614.6,2
3685,OPERA ESTATE,6 RIENZI STREET,1950000,1400,2019-08-14,2022,Resale,15,2019,1,Freehold,1,YU NENG PRIMARY SCHOOL,1.628851012,BEDOK MRT STATION,0.595306515,1392.86,2
3686,OPERA ESTATE,6 RIENZI STREET,3000000,2154,2022-04-05,2022,Resale,15,2022,1,Freehold,1,YU NENG PRIMARY SCHOOL,1.628851012,BEDOK MRT STATION,0.595306515,1392.86,2
3687,THE GREENWOOD,187 GREENWOOD AVENUE,2580000,786,2019-08-15,2011,Resale,11,2019,1,99-yr,1,RAFFLES GIRLS' PRIMARY SCHOOL,0.939586784,SIXTH AVENUE MRT STATION,1.165416805,3283.02,1
3688,CHUAN VILLE,31 CHUAN LINK,1770000,1070,2019-08-15,2004,Resale,19,2019,1,99-yr,1,ROSYTH SCHOOL,1.647962888,LORONG CHUAN MRT STATION,1.037982152,1654.43,2
3689,N.A.,37 JALAN MAS KUNING,3180000,1939,2019-08-16,2021,Resale,5,2019,1,Freehold,188,NAN HUA PRIMARY SCHOOL,1.24662605,CLEMENTI MRT STATION,0.770428115,1640.43,2
3690,N.A.,7 PENAGA PLACE,1800000,980,2019-08-16,2021,Resale,27,2019,1,99-yr,188,WELLINGTON PRIMARY SCHOOL,2.050288121,CANBERRA MRT STATION,2.173292434,1837.41,3
3691,HENRY PARK,14 GROVE AVENUE,3600000,1808,2019-08-16,2013,Resale,10,2019,1,Freehold,1,HENRY PARK PRIMARY SCHOOL,0.480040405,DOVER MRT STATION,0.608292284,1991.34,1
3692,CATHAY GARDEN,32 KERIS DRIVE,2900000,1767,2019-08-19,1985,Resale,15,2019,1,Freehold,1,TAO NAN SCHOOL,0.935534358,MARINE TERRACE MRT STATION,0.514963396,1641.51,1
3693,CHENG SOON GARDEN,44 KISMIS AVENUE,3000000,1451,2019-08-19,1991,Resale,21,2019,1,Freehold,1,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,0.530691624,BEAUTY WORLD MRT STATION,0.779365481,2067.76,1
3694,MACPHERSON GARDEN ESTATE,83 JALAN SETIA,1570000,1777,2019-08-19,2020,Resale,13,2019,1,Freehold,1,MARIS STELLA HIGH SCHOOL,0.993733237,MATTAR MRT STATION,0.792867972,883.72,1
3695,MONT TIMAH,105 BUKIT WAY,3600000,793,2019-08-20,2011,Resale,21,2019,1,99-yr,1,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,0.949353689,BEAUTY WORLD MRT STATION,0.608246094,4542.41,1
3696,THOMSON HILLS ESTATE,24 THOMSON TERRACE,2600000,1179,2019-08-20,2019,Resale,20,2019,1,Freehold,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,0.696521231,LENTOR MRT STATION,0.903708314,2204.47,1
3697,EUHABITAT,274 JALAN EUNOS,2600000,769,2019-08-20,2015,Resale,14,2019,1,99-yr,5,MAHA BODHI SCHOOL,0.800203562,KAKI BUKIT MRT STATION,0.779472291,3379.9,1
3698,SEMBAWANG HILLS ESTATE,78 JALAN LEBAN,2120000,1054,2019-08-21,2021,Resale,20,2019,1,Freehold,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,0.352554144,MAYFLOWER MRT STATION,0.67277292,2011.79,1
3699,SPRINGHILL,2 SEMBAWANG WALK #01-77,1515000,503,2019-08-22,2005,Resale,27,2019,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,3013.92,2
3700,SPRINGHILL,2 SEMBAWANG WALK #01-102,1450000,485,2019-09-18,2005,Resale,27,2019,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,2992.39,2
3701,SPRINGHILL,2 SEMBAWANG WALK #01-41,1480000,457,2019-10-25,2005,Resale,27,2019,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,3239.96,2
3702,SPRINGHILL,2 SEMBAWANG WALK #01-103,1490000,457,2019-11-08,2005,Resale,27,2019,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,3261.49,2
3703,SPRINGHILL,2 SEMBAWANG WALK #01-29,1400000,482,2019-11-29,2005,Resale,27,2019,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,2906.28,2
3704,SPRINGHILL,2 SEMBAWANG WALK #01-14,1330000,481,2019-12-27,2005,Resale,27,2019,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,2766.35,2
3705,SPRINGHILL,2 SEMBAWANG WALK #01-105,1500000,492,2020-06-08,2005,Resale,27,2020,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,3046.21,2
3706,SPRINGHILL,2 SEMBAWANG WALK #01-107,1600000,500,2020-07-22,2005,Resale,27,2020,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,3196.91,2
3707,SPRINGHILL,2 SEMBAWANG WALK #01-30,1430000,494,2020-08-19,2005,Resale,27,2020,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,2895.52,2
3708,SPRINGHILL,2 SEMBAWANG WALK #01-38,1475000,471,2020-09-23,2005,Resale,27,2020,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,3132.32,2
3709,SPRINGHILL,2 SEMBAWANG WALK #01-61,1518888,504,2020-09-25,2005,Resale,27,2020,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,3013.92,2
3710,SPRINGHILL,2 SEMBAWANG WALK #01-02,1370000,499,2020-09-28,2005,Resale,27,2020,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,2744.82,2
3711,SPRINGHILL,2 SEMBAWANG WALK #01-69,1503888,499,2020-10-02,2005,Resale,27,2020,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,3013.92,2
3712,SPRINGHILL,2 SEMBAWANG WALK #01-20,1560000,537,2020-10-05,2005,Resale,27,2020,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,2906.28,2
3713,SPRINGHILL,2 SEMBAWANG WALK #01-65,1440000,478,2020-10-07,2005,Resale,27,2020,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,3013.92,2
3714,SPRINGHILL,2 SEMBAWANG WALK #01-45,1548000,523,2020-10-15,2005,Resale,27,2020,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,2960.1,2
3715,SPRINGHILL,2 SEMBAWANG WALK #01-78,1543800,512,2020-10-28,2005,Resale,27,2020,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,3013.92,2
3716,SPRINGHILL,2 SEMBAWANG WALK #01-81,1450000,499,2020-11-17,2005,Resale,27,2020,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,2906.28,2
3717,SPRINGHILL,2 SEMBAWANG WALK #01-48,1560000,518,2021-02-16,2005,Resale,27,2021,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,3013.92,2
3718,SPRINGHILL,2 SEMBAWANG WALK #01-80,1700000,535,2021-10-25,2005,Resale,27,2021,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,3175.38,2
3719,SPRINGHILL,2 SEMBAWANG WALK #01-36,1830000,634,2021-12-06,2005,Resale,27,2021,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,2884.75,2
3720,SPRINGHILL,2 SEMBAWANG WALK #01-27,1780000,612,2022-01-10,2005,Resale,27,2022,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,2906.28,2
3721,SPRINGHILL,2 SEMBAWANG WALK #01-68,1740000,577,2022-01-10,2005,Resale,27,2022,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,3013.92,2
3722,SPRINGHILL,2 SEMBAWANG WALK #01-24,1900000,654,2022-01-28,2005,Resale,27,2022,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,2906.28,2
3723,SPRINGHILL,2 SEMBAWANG WALK #01-90,1930000,640,2022-03-07,2005,Resale,27,2022,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,3013.92,2
3724,SPRINGHILL,2 SEMBAWANG WALK #01-63,1950000,647,2022-03-08,2005,Resale,27,2022,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,3013.92,2
3725,SPRINGHILL,2 SEMBAWANG WALK #01-73,1808000,611,2022-04-08,2005,Resale,27,2022,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,2960.1,2
3726,SPRINGHILL,2 SEMBAWANG WALK #01-15,1828000,661,2022-05-23,2005,Resale,27,2022,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,2766.35,2
3727,SPRINGHILL,2 SEMBAWANG WALK #01-91,1940000,644,2022-06-20,2005,Resale,27,2022,1,99-yr,1,WELLINGTON PRIMARY SCHOOL,1.233486841,CANBERRA MRT STATION,0.792380737,3013.92,2
3728,SELETAR HILLS ESTATE,28 JALAN LAKUM,2790000,1269,2019-08-22,2020,Resale,28,2019,1,999-yr,1,SENGKANG GREEN PRIMARY SCHOOL,0.928964508,BUANGKOK MRT STATION,2.314521012,2199.09,1
3729,SELETAR HILLS ESTATE,14 NERAM ROAD,2000000,1141,2019-08-23,2020,Resale,28,2019,1,999-yr,1,SENGKANG GREEN PRIMARY SCHOOL,1.13402117,YIO CHU KANG MRT STATION,2.511625039,1752.38,2
3730,LOYANG VILLAS,66 LOYANG RISE,1400000,867,2019-08-23,1996,Resale,17,2019,1,99-yr,1,PASIR RIS PRIMARY SCHOOL,1.033364814,TAMPINES EAST MRT STATION,1.42584717,1614.6,2
3731,THE WOODS,121E WESTWOOD AVENUE,1550000,386,2019-08-23,2013,Resale,22,2019,1,99-yr,1,WESTWOOD PRIMARY SCHOOL,0.629786843,PIONEER MRT STATION,1.618697109,4014.97,1
3732,ALANA,62 SUNRISE TERRACE,2288000,743,2019-08-23,2018,Sub Sale,28,2019,1,99-yr,1,SENGKANG GREEN PRIMARY SCHOOL,2.211136073,YIO CHU KANG MRT STATION,1.454165838,3078.5,3
3733,BELGRAVIA GREEN,293 BELGRAVIA DRIVE,3028000,885,2019-08-24,Uncompleted,New Sale,28,2019,1,Freehold,1,ROSYTH SCHOOL,1.442990904,ANG MO KIO MRT STATION,2.0273882,3422.95,2
3734,BELGRAVIA GREEN,299 BELGRAVIA DRIVE,3049870,880,2019-08-25,Uncompleted,New Sale,28,2019,1,Freehold,1,ROSYTH SCHOOL,1.427419833,ANG MO KIO MRT STATION,2.038439404,3466.01,2
3735,LENTOR VIEW,32 LENTOR PLACE,2870000,1073,2019-08-26,1992,Resale,26,2019,1,Freehold,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,1.727282855,LENTOR MRT STATION,0.403250337,2674.85,2
3736,NIM COLLECTION,17 NIM RISE,2738000,1437,2019-08-26,2019,New Sale,28,2019,1,99-yr,1,ROSYTH SCHOOL,1.599099495,ANG MO KIO MRT STATION,1.868890508,1905.23,2
3737,BELGRAVIA GREEN,319 BELGRAVIA DRIVE,3089490,891,2019-08-26,Uncompleted,New Sale,28,2019,1,Freehold,1,ROSYTH SCHOOL,1.440661418,ANG MO KIO MRT STATION,2.045648048,3466.01,2
3738,SOVEREIGN @ SIMON,45C SIMON PLACE,1880000,856,2019-08-26,2009,Resale,19,2019,1,999-yr,1,XINMIN PRIMARY SCHOOL,0.630534523,KOVAN MRT STATION,0.651819874,2195.86,1
3739,LA SUISSE,47 SWISS VIEW,3500000,1874,2019-08-28,1993,Resale,11,2019,1,999-yr,7,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,2.050344692,KING ALBERT PARK MRT STATION,1.632906313,1867.55,3
3740,N.A.,128 JOO CHIAT PLACE,2400000,1875,2019-08-28,2021,Resale,15,2019,1,Freehold,188,TAO NAN SCHOOL,1.259396916,EUNOS MRT STATION,0.674303744,1279.84,2
3741,THOMSON HILLS ESTATE,6 SERENADE WALK,2600000,1276,2019-08-29,2019,Resale,20,2019,1,Freehold,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,0.531230635,MAYFLOWER MRT STATION,0.758411543,2037.63,1
3742,SERANGOON GARDEN ESTATE,17D SERANGOON GARDEN WAY,3860000,1625,2019-08-29,2022,Resale,19,2019,1,Freehold,1,ROSYTH SCHOOL,1.168281805,SERANGOON MRT STATION,1.347805103,2375.61,2
3743,LUXUS HILLS,65 LUXUS HILL DRIVE,3050000,1889,2019-08-29,2020,Resale,28,2019,1,999-yr,1,ROSYTH SCHOOL,0.896473491,BUANGKOK MRT STATION,1.959235159,1614.6,1
3744,N.A.,113 WHITLEY ROAD,3680000,2282,2019-08-30,2021,Resale,11,2019,1,Freehold,188,CHIJ PRIMARY (TOA PAYOH),0.801343403,MOUNT PLEASANT MRT STATION,0.353497622,1612.45,1
3745,LUXUS HILLS,30 LUXUS HILL DRIVE,3168000,1962,2019-08-30,2020,Resale,28,2019,1,999-yr,1,ROSYTH SCHOOL,0.851113437,BUANGKOK MRT STATION,2.081716324,1614.6,1
3746,SEMBAWANG HILLS ESTATE,30 CASUARINA ROAD,2800000,1899,2019-08-30,2021,New Sale,20,2019,1,Freehold,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,0.666594242,MAYFLOWER MRT STATION,0.958734832,1474.67,1
3747,TAI PENG GARDENS,26 JALAN RENGKAM,3000000,1475,2019-08-30,1997,Resale,19,2019,1,Freehold,1,HOLY INNOCENTS' PRIMARY SCHOOL,0.770734742,KOVAN MRT STATION,0.4936643,2033.32,1
3748,N.A.,29 INGGU ROAD,1938000,1124,2019-08-30,2021,Resale,27,2019,1,99-yr,188,WELLINGTON PRIMARY SCHOOL,2.144683718,CANBERRA MRT STATION,2.23382519,1724.39,3
3749,LUXUS HILLS,72 LUXUS HILL DRIVE,3060000,1895,2019-08-30,2020,Resale,28,2019,1,999-yr,1,ROSYTH SCHOOL,0.859592716,BUANGKOK MRT STATION,1.951252966,1614.6,1
3750,BELGRAVIA GREEN,275 BELGRAVIA DRIVE,2729200,871,2019-08-30,Uncompleted,New Sale,28,2019,1,Freehold,1,ROSYTH SCHOOL,1.46215426,ANG MO KIO MRT STATION,1.99459139,3132.32,2
3751,LUXUS HILLS,36 LUXUS HILL DRIVE,3138000,1944,2019-08-30,2020,Resale,28,2019,1,999-yr,1,ROSYTH SCHOOL,0.851031755,BUANGKOK MRT STATION,2.063698031,1614.6,1
3752,N.A.,82 SIANG KUANG AVENUE,2330000,1566,2019-08-30,2021,Resale,13,2019,1,Freehold,188,MARIS STELLA HIGH SCHOOL,1.509844027,POTONG PASIR MRT STATION,0.442362689,1487.58,2
3753,THE SPRINGSIDE,25 SPRINGSIDE VIEW,2630000,1566,2019-08-30,2016,Resale,26,2019,1,Freehold,1,NORTHLAND PRIMARY SCHOOL,2.776462009,SPRINGLEAF MRT STATION,0.94785083,1679.18,3
3754,BEDOK RIA,40 BEDOK RIA CRESCENT,2500000,1408,2019-09-02,2009,Resale,16,2019,1,Freehold,1,TEMASEK PRIMARY SCHOOL,1.327507849,TANAH MERAH MRT STATION,0.629460387,1774.98,2
3755,LUXUS HILLS,32 SELETAR GREEN WALK,2900000,1796,2019-09-02,2020,Resale,28,2019,1,999-yr,1,ROSYTH SCHOOL,0.788297816,BUANGKOK MRT STATION,2.081776568,1614.6,1
3756,N.A.,23 JALAN CHERMAT,2820000,1000,2019-09-02,2021,Resale,19,2019,1,Freehold,188,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),0.847217063,SERANGOON MRT STATION,0.473145483,2819.09,1
3757,THE RIVERINA,17 RIVERINA CRESCENT,1610000,997,2019-09-02,2000,Resale,18,2019,1,99-yr,1,PASIR RIS PRIMARY SCHOOL,2.163213811,PASIR RIS MRT STATION,0.878559368,1614.6,3
3758,LUXUS HILLS,26 LUXUS HILL DRIVE,3748000,1699,2019-09-02,2020,Resale,28,2019,1,999-yr,1,ROSYTH SCHOOL,0.851387847,BUANGKOK MRT STATION,2.093685875,2206.62,1
3759,N.A.,35G EVERITT ROAD,3428888,1708,2019-09-03,2021,Resale,15,2019,1,Freehold,188,TAO NAN SCHOOL,1.304056,EUNOS MRT STATION,0.701509476,2007.49,2
3760,SELETAR HILLS ESTATE,68 KASAI ROAD,2550000,1283,2019-09-03,2020,Resale,28,2019,1,Freehold,1,SENGKANG GREEN PRIMARY SCHOOL,1.365075813,YIO CHU KANG MRT STATION,2.258516024,1987.03,2
3761,LUXUS HILLS,17 LUXUS HILL DRIVE,3168000,1962,2019-09-03,2020,Resale,28,2019,1,999-yr,1,ROSYTH SCHOOL,0.891260007,BUANGKOK MRT STATION,2.119350253,1614.6,1
3762,N.A.,386 MACPHERSON ROAD,1850000,1159,2019-09-03,2021,Resale,13,2019,1,Freehold,188,MARIS STELLA HIGH SCHOOL,1.224329331,MATTAR MRT STATION,0.601533916,1596.3,2
3763,N.A.,136 CARPMAEL ROAD,3400000,1192,2019-09-04,2021,Resale,15,2019,1,Freehold,188,KONG HWA SCHOOL,1.310225382,MARINE PARADE MRT STATION,0.995196617,2851.38,2
3764,LOYANG VILLAS,21 LOYANG VIEW,1720000,799,2019-09-04,1996,Resale,17,2019,1,99-yr,1,PASIR RIS PRIMARY SCHOOL,1.040031269,TAMPINES EAST MRT STATION,1.457485396,2152.8,2
3765,CHUAN TERRACE,34 CHUAN TERRACE,2950000,1433,2019-09-04,1989,Resale,19,2019,1,Freehold,1,ROSYTH SCHOOL,1.498605619,LORONG CHUAN MRT STATION,1.208195937,2058.08,2
3766,ISLAND GARDENS,35 ISLAND GARDENS WALK,3400000,1723,2019-09-04,1986,Resale,20,2019,1,Freehold,1,AI TONG SCHOOL,0.430514878,BRIGHT HILL MRT STATION,0.387516676,1973.04,1
3767,N.A.,96 ENG KONG ROAD,3820000,1398,2019-09-05,2021,Resale,21,2019,1,Freehold,188,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,0.975599437,BEAUTY WORLD MRT STATION,1.138914579,2731.9,1
3768,THE SPRINGSIDE,20 SPRINGSIDE PLACE,2460000,1466,2019-09-05,2016,Resale,26,2019,1,Freehold,1,NORTHLAND PRIMARY SCHOOL,2.785568284,SPRINGLEAF MRT STATION,0.91971833,1678.11,3
3769,N.A.,50 MERAGI ROAD,2758000,913,2019-09-05,2021,Resale,16,2019,1,999-yr,188,CHONGZHENG PRIMARY SCHOOL,1.250382933,UPPER CHANGI MRT STATION,0.258898554,3021.45,2
3770,ALANA,142 SUNRISE TERRACE,2280270,824,2019-09-06,2018,New Sale,28,2019,1,99-yr,1,SENGKANG GREEN PRIMARY SCHOOL,2.246211082,YIO CHU KANG MRT STATION,1.411279183,2755.58,3
3771,N.A.,22 LORONG 7 REALTY PARK,2360000,1250,2019-09-06,2021,Resale,19,2019,1,999-yr,188,XINMIN PRIMARY SCHOOL,0.642031491,HOUGANG MRT STATION,0.538483863,1888.01,1
3772,N.A.,40 YUK TONG AVENUE,2350000,1387,2019-09-06,2021,Resale,21,2019,1,Freehold,188,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,0.606034668,BEAUTY WORLD MRT STATION,0.262797255,1694.25,1
3773,N.A.,129A LORONG J TELOK KURAU,2950000,1588,2019-09-06,2021,Resale,15,2019,1,Freehold,188,TAO NAN SCHOOL,1.073073745,KEMBANGAN MRT STATION,0.693997026,1857.87,2
3774,LAKESIDE GROVE,65 CORPORATION RISE,1860000,865,2019-09-06,1999,Resale,22,2019,1,99-yr,1,RULANG PRIMARY SCHOOL,0.799268015,LAKESIDE MRT STATION,0.664038872,2149.57,1
3775,SEMBAWANG HILLS ESTATE,112 NEMESU AVENUE,2880000,1919,2019-09-06,2021,Resale,20,2019,1,Freehold,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,0.814892275,MAYFLOWER MRT STATION,1.146544745,1500.5,1
3776,JADE VINE GARDENS,5 KANG CHOO BIN WALK,2450000,1326,2019-09-06,2020,Resale,19,2019,1,999-yr,1,XINMIN PRIMARY SCHOOL,0.697275347,KOVAN MRT STATION,0.69274333,1848.18,1
3777,BELGRAVIA GREEN,225 BELGRAVIA DRIVE,2871760,872,2019-09-09,Uncompleted,New Sale,28,2019,1,Freehold,1,ROSYTH SCHOOL,1.468145196,ANG MO KIO MRT STATION,1.975646978,3293.78,2
3778,N.A.,22 STILL LANE,3150000,1787,2019-09-09,2021,Resale,15,2019,1,Freehold,188,TAO NAN SCHOOL,0.652927781,MARINE TERRACE MRT STATION,0.795365866,1763.14,1
3779,N.A.,271 TEMBELING ROAD,3680000,2902,2019-09-09,2021,Resale,15,2019,1,Freehold,188,TAO NAN SCHOOL,0.68213236,MARINE PARADE MRT STATION,0.476179305,1268.0,1
3780,LUXUS HILLS,63 LUXUS HILL DRIVE,3068000,1900,2019-09-09,2020,Resale,28,2019,1,999-yr,1,ROSYTH SCHOOL,0.895767521,BUANGKOK MRT STATION,1.965311377,1614.6,1
3781,MACPHERSON GARDEN ESTATE,2 JALAN MUHIBBAH,2220000,1346,2019-09-09,2020,Resale,13,2019,1,Freehold,1,MARIS STELLA HIGH SCHOOL,1.106941012,MATTAR MRT STATION,0.685918153,1649.04,2
3782,N.A.,23B LORONG MARZUKI,3200000,1869,2019-09-09,2021,Resale,14,2019,1,Freehold,188,MAHA BODHI SCHOOL,1.238935694,KEMBANGAN MRT STATION,0.430140214,1712.55,2
3783,CASHEW VILLAS,108 CASHEW CRESCENT,2500000,1547,2019-09-10,2013,Resale,23,2019,1,999-yr,1,WEST SPRING PRIMARY SCHOOL,2.145526482,CASHEW MRT STATION,0.539017097,1615.68,3
3784,LOYANG VILLAS,122 LOYANG RISE,1555000,963,2019-09-10,1996,Resale,17,2019,1,99-yr,1,PASIR RIS PRIMARY SCHOOL,0.955709245,TAMPINES EAST MRT STATION,1.605919139,1614.6,1
3785,EMERALD HILL CONSERVATION AREA,101 EMERALD HILL ROAD,10500000,4299,2019-09-10,,Resale,9,2019,1,Freehold,1,ANGLO-CHINESE SCHOOL (JUNIOR),0.56637744,SOMERSET MRT STATION,0.470311369,2442.35,1
3786,EAST COAST PARK,354 SIGLAP ROAD,3000000,1203,2019-09-10,2019,Resale,15,2019,1,Freehold,1,TAO NAN SCHOOL,1.642847352,SIGLAP MRT STATION,0.938706118,2492.94,2
3787,EAST COAST PARK,354 SIGLAP ROAD,2850000,1143,2020-11-25,2019,Resale,15,2020,1,Freehold,1,TAO NAN SCHOOL,1.642847352,SIGLAP MRT STATION,0.938706118,2492.94,2
3788,VILLA VERDE,86 VERDE AVENUE,1860000,756,2019-09-11,2000,Resale,23,2019,1,99-yr,1,SOUTH VIEW PRIMARY SCHOOL,1.149191426,YEW TEE MRT STATION,0.750198009,2459.57,2
3789,LUXUS HILLS,70 LUXUS HILL DRIVE,3068000,1900,2019-09-11,2020,Resale,28,2019,1,999-yr,1,ROSYTH SCHOOL,0.858775899,BUANGKOK MRT STATION,1.957306907,1614.6,1
3790,CAPITOL PARK,32 JALAN ADAT,5100000,2790,2019-09-11,2011,Resale,11,2019,1,Freehold,1,SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY),1.287269754,BOTANIC GARDENS MRT STATION,0.684878065,1827.73,2
3791,LUXUS HILLS,32 LUXUS HILL DRIVE,3138000,1944,2019-09-11,2020,Resale,28,2019,1,999-yr,1,ROSYTH SCHOOL,0.851042733,BUANGKOK MRT STATION,2.075661983,1614.6,1
3792,EASTWOOD PARK,42 EASTWOOD DRIVE,1950000,916,2019-09-11,1998,Resale,16,2019,1,99-yr,1,TEMASEK PRIMARY SCHOOL,1.349846843,SUNGEI BEDOK MRT STATION,0.358924151,2128.04,2
3793,STRAITS GARDENS,10 ANDREWS TERRACE,2266666,1404,2019-09-11,2005,Resale,27,2019,1,Freehold,1,WELLINGTON PRIMARY SCHOOL,1.863421828,CANBERRA MRT STATION,1.917937596,1614.6,2
3794,VILLA VERDE,14 VERDE PLACE,1300000,766,2019-09-12,2000,Resale,23,2019,1,99-yr,1,SOUTH VIEW PRIMARY SCHOOL,1.309872077,YEW TEE MRT STATION,0.785622711,1696.41,2
3795,N.A.,212 CARPMAEL ROAD,3980000,2317,2019-09-12,2021,Resale,15,2019,1,Freehold,188,TAO NAN SCHOOL,1.09766334,MARINE PARADE MRT STATION,0.640503154,1717.93,2
3796,THE INGLEWOOD,55 THE INGLEWOOD,3188000,1065,2019-09-12,1990,Resale,20,2019,1,Freehold,1,AI TONG SCHOOL,0.417854625,BRIGHT HILL MRT STATION,0.45065124,2992.39,1
