Project.Name,Address,Transacted Price,Price (psf),Date,Property.Type,Completion Year,Type.of.Sale,Postal.District,year,Level,TenureType_Ind,maxLevel,Nearest Sch,Distance_Sch,Nearest Stn,Distance_Stn,ENBLOC,Avg area sqf,Dist_Sch_Label
N.A.,189 JOO CHIAT TERRACE,2320000,1390,8/7/2019,Terrace House,2021,Resale,15,2019,1,Freehold,188,TAO NAN SCHOOL,1.31611411,EUNOS MRT STATION,0.537776867,0,1669.5,2
OPERA ESTATE,33 AIDA STREET,5600000,1867,8/7/2019,Semi-Detached House,2022,Resale,15,2019,1,Freehold,1,YU NENG PRIMARY SCHOOL,1.700881789,BEDOK MRT STATION,0.591247419,0,2999.93,2
N.A.,25 JALAN ASAS,640000,340,8/7/2019,Terrace House,2021,Resale,23,2019,1,99-yr,188,SAINT ANTHONY'S PRIMARY SCHOOL,2.188921657,HILLVIEW MRT STATION,0.450634951,0,1880.47,3
BELGRAVIA GREEN,295 BELGRAVIA DRIVE,3028580,885,9/7/2019,Terrace House,Uncompleted,New Sale,28,2019,1,Freehold,1,ROSYTH SCHOOL,1.437798784,ANG MO KIO MRT STATION,2.031062374,0,3422.95,2
DUNEARN ESTATE,76 TREVOSE CRESCENT,8050000,1850,9/7/2019,Detached House,2021,Resale,11,2019,1,Freehold,1,SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY),0.726897587,STEVENS MRT STATION,0.726372037,0,4351.89,1
N.A.,6 SUNSET DRIVE,7600000,1143,9/7/2019,Detached House,2021,Resale,21,2019,1,Freehold,188,NAN HUA PRIMARY SCHOOL,1.001651478,CLEMENTI MRT STATION,1.16911101,0,6651.08,2
APOLLO GARDENS,98 SUNBIRD CIRCLE,3350000,955,11/7/2019,Semi-Detached House,2015,Resale,16,2019,1,Freehold,1,CHONGZHENG PRIMARY SCHOOL,1.444407645,UPPER CHANGI MRT STATION,0.525351325,0,3506.91,2
N.A.,32 LUCKY HEIGHTS,1750000,499,11/7/2019,Semi-Detached House,2021,Resale,16,2019,1,Freehold,188,TEMASEK PRIMARY SCHOOL,0.570192302,BAYSHORE MRT STATION,0.491021363,0,3510.14,1
N.A.,56 MULBERRY AVENUE,1940000,1293,11/7/2019,Terrace House,2021,Resale,13,2019,1,Freehold,188,MARIS STELLA HIGH SCHOOL,1.262378499,POTONG PASIR MRT STATION,0.801037778,0,1500.5,2
N.A.,376A LORONG CHUAN,2580000,1490,11/7/2019,Terrace House,2021,Resale,19,2019,1,Freehold,188,ROSYTH SCHOOL,1.448710415,LORONG CHUAN MRT STATION,1.202391711,0,1731.93,2
